# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Aug 30 13:25:08 2024
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
#
loc_rowid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2
1983,K02169.04,CANDIDATE,2.192519030,3.2670000e-05,-3.2670000e-05,0.37,5.000e-02,-1.000e-02,0.8420,0.0930,-0.0330
1984,K02171.01,CONFIRMED,3.532324290,2.2900000e-05,-2.2900000e-05,1.43,2.100e-01,-7.000e-02,0.9560,0.1430,-0.0480
1985,K00026.01,FALSE POSITIVE,15.039463260,1.1120000e-05,-1.1120000e-05,12.36,3.960e+00,-2.630e+00,1.4410,0.4610,-0.3070
1986,K00230.01,FALSE POSITIVE,4.702495974,3.2020000e-06,-3.2020000e-06,37.24,7.420e+00,-4.330e+00,0.8780,0.1750,-0.1020
1987,K02172.01,CONFIRMED,10.440873980,5.1130000e-05,-5.1130000e-05,3.41,9.800e-01,-4.900e-01,0.9810,0.2810,-0.1410
1988,K02554.01,CANDIDATE,39.755764200,3.3300000e-04,-3.3300000e-04,13.72,1.000e+00,-1.210e+00,0.5110,0.0370,-0.0450
1989,K02554.02,CANDIDATE,10.271275270,6.3230000e-05,-6.3230000e-05,0.94,7.000e-02,-8.000e-02,0.5110,0.0370,-0.0450
1990,K02555.01,CONFIRMED,12.572289700,1.9500000e-04,-1.9500000e-04,1.09,1.900e-01,-1.300e-01,1.1690,0.1950,-0.1420
1991,K02556.01,CONFIRMED,40.836630700,3.8480000e-04,-3.8480000e-04,1.50,1.800e-01,-1.300e-01,0.9250,0.1100,-0.0830
1992,K02557.01,FALSE POSITIVE,11.776107300,7.3570000e-05,-7.3570000e-05,1.31,1.700e-01,-1.100e-01,0.6890,0.0860,-0.0580
1993,K02633.01,FALSE POSITIVE,29.712318100,3.1090000e-04,-3.1090000e-04,46.43,9.910e+00,-1.361e+01,1.9210,0.4100,-0.5630
1994,K00253.02,CONFIRMED,20.618034800,1.3820000e-04,-1.3820000e-04,1.57,6.000e-02,-1.000e-01,0.5760,0.0220,-0.0360
1995,K02634.01,CONFIRMED,19.940121100,1.3440000e-04,-1.3440000e-04,2.42,4.700e-01,-2.000e-01,0.7630,0.1470,-0.0630
1996,K02635.01,CONFIRMED,22.242003200,2.4600000e-04,-2.4600000e-04,2.04,3.000e-01,-5.700e-01,2.1640,0.3230,-0.6010
1997,K02636.01,CONFIRMED,3.881483850,3.4030000e-05,-3.4030000e-05,0.59,9.000e-02,-4.000e-02,0.9790,0.1480,-0.0640
1998,K02409.01,CONFIRMED,0.577369336,3.9500000e-07,-3.9500000e-07,1.42,2.000e-01,-1.200e-01,0.7160,0.1030,-0.0600
1999,K02410.01,FALSE POSITIVE,186.654354830,,,,,,,,
2000,K00244.01,CONFIRMED,12.720370263,2.2820000e-06,-2.2820000e-06,4.75,2.800e-01,-2.200e-01,1.2580,0.0720,-0.0590
2001,K02410.02,FALSE POSITIVE,86.593222940,,,,,,,,
2002,K02411.01,CONFIRMED,11.964073990,5.7380000e-05,-5.7380000e-05,3.21,9.200e-01,-4.700e-01,0.9610,0.2780,-0.1390
2003,K02412.01,FALSE POSITIVE,2.493237866,9.3490000e-06,-9.3490000e-06,9.48,3.550e+00,-3.910e+00,4.1310,1.5470,-1.7020
2004,K02413.01,CONFIRMED,12.904675230,7.1370000e-05,-7.1370000e-05,1.49,4.000e-02,-8.000e-02,0.7220,0.0210,-0.0380
2005,K02484.01,CONFIRMED,68.886101700,5.5760000e-04,-5.5760000e-04,1.47,2.400e-01,-3.300e-01,1.2220,0.2020,-0.2700
2006,K02485.01,CONFIRMED,9.991152410,5.8570000e-05,-5.8570000e-05,1.68,5.000e-02,-1.200e-01,0.7960,0.0270,-0.0540
2007,K02486.01,CANDIDATE,4.267961416,8.8760000e-06,-8.8760000e-06,1.42,4.400e-01,-2.800e-01,1.2370,0.3900,-0.2400
2008,K02487.01,CONFIRMED,36.292017000,3.4430000e-04,-3.4430000e-04,3.10,4.800e-01,-6.600e-01,1.6150,0.2520,-0.3460
2009,K00031.01,FALSE POSITIVE,0.925589891,3.6530000e-06,-3.6530000e-06,50.60,1.485e+01,-5.300e+00,24.4880,7.1850,-2.5660
2010,K00250.02,CONFIRMED,17.251213970,1.8140000e-05,-1.8140000e-05,2.64,1.500e-01,-2.000e-01,0.5370,0.0300,-0.0410
2011,K02558.01,FALSE POSITIVE,1.867281146,8.2280000e-06,-8.2280000e-06,31.18,9.190e+00,-3.950e+00,1.0250,0.3020,-0.1300
2012,K02559.01,CONFIRMED,9.309918340,5.3870000e-05,-5.3870000e-05,1.21,2.000e-01,-1.400e-01,1.1010,0.1740,-0.1260
2013,K02560.01,CANDIDATE,18.120938800,1.7990000e-04,-1.7990000e-04,1.68,1.400e-01,-1.600e-01,0.7740,0.0620,-0.0760
2014,K02561.01,CONFIRMED,3.239417750,1.6030000e-05,-1.6030000e-05,0.77,2.100e-01,-7.000e-02,0.8580,0.2380,-0.0790
2015,K02637.01,CANDIDATE,3.988649990,4.2610000e-05,-4.2610000e-05,1.15,1.900e-01,-1.800e-01,1.1880,0.1890,-0.1890
2016,K02638.01,CONFIRMED,2.524017517,6.5470000e-06,-6.5470000e-06,1.50,3.100e-01,-1.700e-01,0.8710,0.1800,-0.0970
2017,K02639.01,CANDIDATE,25.112336200,3.8660000e-04,-3.8660000e-04,2.22,7.300e-01,-3.100e-01,1.1120,0.3660,-0.1570
2018,K02639.02,CANDIDATE,2.121023807,9.0450000e-06,-9.0450000e-06,5.75,2.960e+00,-7.100e-01,1.1120,0.5740,-0.1370
2019,K02640.01,CANDIDATE,33.180894530,,,,,,,,
2020,K02641.01,CANDIDATE,3.555579220,2.3570000e-05,-2.3570000e-05,0.84,2.300e-01,-1.500e-01,1.0820,0.2970,-0.1980
2021,K02413.02,CONFIRMED,31.201220200,3.4890000e-04,-3.4890000e-04,1.47,4.000e-02,-8.000e-02,0.7220,0.0210,-0.0380
2022,K02414.01,CONFIRMED,22.596825600,2.2420000e-04,-2.2420000e-04,1.30,2.100e-01,-2.000e-01,1.1040,0.1760,-0.1760
2023,K02414.02,CONFIRMED,45.348638100,4.0070000e-04,-4.0070000e-04,1.61,2.600e-01,-2.600e-01,1.1040,0.1760,-0.1760
2024,K02415.01,CONFIRMED,5.254195890,1.9010000e-05,-1.9010000e-05,2.12,6.900e-01,-2.200e-01,0.9870,0.3170,-0.1060
2025,K02416.01,CONFIRMED,5.906089020,3.7340000e-05,-3.7340000e-05,1.77,5.500e-01,-1.900e-01,0.9610,0.2990,-0.1000
2026,K00247.01,CONFIRMED,13.815044490,2.5150000e-05,-2.5150000e-05,1.91,1.300e-01,-1.900e-01,0.5090,0.0340,-0.0500
2027,K02488.01,CONFIRMED,12.412851800,9.9370000e-05,-9.9370000e-05,1.50,2.400e-01,-2.700e-01,1.3460,0.2140,-0.2380
2028,K02489.01,CONFIRMED,3.924530090,1.6730000e-05,-1.6730000e-05,1.82,4.500e-01,-1.600e-01,0.8490,0.2090,-0.0750
2029,K02490.01,CONFIRMED,11.606530610,6.0840000e-05,-6.0840000e-05,1.88,7.000e-02,-1.100e-01,0.7010,0.0270,-0.0410
2030,K02491.01,CONFIRMED,2.668312740,1.0260000e-05,-1.0260000e-05,1.48,3.700e-01,-1.300e-01,0.8990,0.2310,-0.0770
2031,K02562.01,FALSE POSITIVE,2.932250900,3.9670000e-05,-3.9670000e-05,1.33,3.900e-01,-1.300e-01,0.9660,0.2850,-0.0950
2032,K02563.01,CONFIRMED,23.477255300,2.5250000e-04,-2.5250000e-04,1.34,4.200e-01,-1.800e-01,1.1210,0.3520,-0.1510
2033,K02564.01,CONFIRMED,66.557672800,8.9920000e-04,-8.9920000e-04,4.96,9.100e-01,-1.690e+00,3.4050,0.6250,-1.1610
2034,K02565.01,FALSE POSITIVE,2.019486070,1.6440000e-05,-1.6440000e-05,2.15,6.400e-01,-2.600e-01,0.9440,0.2820,-0.1130
2035,K02566.01,FALSE POSITIVE,3.044682290,4.3330000e-05,-4.3330000e-05,0.86,3.000e-01,-1.700e-01,0.9800,0.3360,-0.1960
2036,K02642.01,FALSE POSITIVE,15.050283130,7.5670000e-05,-7.5670000e-05,2.46,1.110e+00,-2.000e-01,0.9890,0.4450,-0.0810
2037,K00254.01,CONFIRMED,2.455240626,1.1100000e-07,-1.1100000e-07,10.60,4.300e-01,-7.100e-01,0.5680,0.0230,-0.0380
2038,K02643.01,CONFIRMED,9.082334110,4.3180000e-05,-4.3180000e-05,1.35,2.400e-01,-1.300e-01,0.7880,0.1430,-0.0710
2039,K02644.01,FALSE POSITIVE,0.790539912,1.2330000e-06,-1.2330000e-06,1.24,7.000e-02,-1.200e-01,0.7670,0.0430,-0.0740
2040,K02645.01,FALSE POSITIVE,1.705782214,7.5600000e-06,-7.5600000e-06,1.82,5.100e-01,-3.200e-01,1.0090,0.2850,-0.1750
2041,K02646.01,FALSE POSITIVE,0.532086296,6.7800000e-07,-6.7800000e-07,16.99,2.480e+00,-1.250e+00,0.6980,0.1020,-0.0510
2042,K02417.01,CONFIRMED,47.705256600,4.6970000e-04,-4.6970000e-04,2.89,1.200e-01,-1.400e-01,0.6720,0.0270,-0.0330
2043,K00244.02,CONFIRMED,6.238535444,2.3250000e-06,-2.3250000e-06,2.53,1.400e-01,-1.200e-01,1.2580,0.0720,-0.0590
2044,K02418.01,CONFIRMED,86.829519000,1.2900000e-03,-1.2900000e-03,1.68,1.200e-01,-2.100e-01,0.4630,0.0340,-0.0580
2045,K02419.01,CONFIRMED,9.956670350,5.8540000e-05,-5.8540000e-05,3.41,1.120e+00,-4.800e-01,1.1150,0.3660,-0.1570
2046,K02420.01,CONFIRMED,10.417287220,6.6950000e-05,-6.6950000e-05,1.64,2.400e-01,-2.600e-01,1.1510,0.1660,-0.1840
2047,K02492.01,CONFIRMED,0.984941669,3.0730000e-06,-3.0730000e-06,1.49,2.300e-01,-3.400e-01,1.6620,0.2520,-0.3780
2048,K02493.01,CONFIRMED,0.663085361,9.1100000e-07,-9.1100000e-07,1.60,2.400e-01,-1.200e-01,0.7670,0.1190,-0.0550
2049,K02494.01,CONFIRMED,19.118742500,1.7210000e-04,-1.7210000e-04,2.33,3.700e-01,-4.500e-01,1.4630,0.2330,-0.2840
2050,K02495.01,FALSE POSITIVE,1.087491010,1.7290000e-06,-1.7290000e-06,4.91,9.100e-01,-1.970e+00,3.2040,0.5940,-1.2870
2051,K02496.01,FALSE POSITIVE,1.183818383,4.9770000e-06,-4.9770000e-06,0.91,3.100e-01,-1.000e-01,0.9920,0.3300,-0.1100
2052,K02567.01,FALSE POSITIVE,4.988450990,4.7220000e-05,-4.7220000e-05,1.33,3.600e-01,-2.000e-01,0.9610,0.2640,-0.1420
2053,K00250.03,CONFIRMED,3.543919702,4.4940000e-06,-4.4940000e-06,1.21,6.000e-02,-1.000e-01,0.5370,0.0300,-0.0410
2054,K02569.01,CANDIDATE,8.281570720,7.3410000e-05,-7.3410000e-05,1.37,2.100e-01,-2.100e-01,1.1750,0.1790,-0.1790
2055,K02571.01,CANDIDATE,0.826284420,1.4410000e-06,-1.4410000e-06,0.96,7.000e-02,-5.000e-02,0.8290,0.0630,-0.0400
2056,K02572.01,CANDIDATE,6.377052950,3.2060000e-05,-3.2060000e-05,2.15,5.200e-01,-2.100e-01,0.9650,0.2330,-0.0930
2057,K02647.01,CONFIRMED,8.839294620,4.9290000e-05,-4.9290000e-05,1.94,3.500e-01,-2.100e-01,0.8700,0.1570,-0.0920
2058,K02648.01,FALSE POSITIVE,0.631795416,1.2930000e-06,-1.2930000e-06,1.88,3.400e-01,-3.300e-01,1.5190,0.2700,-0.2700
2059,K02649.01,CONFIRMED,7.561261520,4.2570000e-05,-4.2570000e-05,1.20,3.400e-01,-1.100e-01,0.8950,0.2460,-0.0820
2060,K02650.01,CONFIRMED,34.989784700,3.8030000e-04,-3.8030000e-04,1.14,7.000e-02,-1.000e-01,0.5210,0.0290,-0.0470
2061,K02650.02,CONFIRMED,7.054294830,4.1320000e-05,-4.1320000e-05,1.00,6.000e-02,-9.000e-02,0.5210,0.0290,-0.0470
2062,K02421.01,CANDIDATE,2.270501060,1.1550000e-05,-1.1550000e-05,0.55,3.000e-02,-3.000e-02,0.5280,0.0280,-0.0340
2063,K02422.01,CONFIRMED,26.783893500,1.5820000e-04,-1.5820000e-04,1.59,1.200e-01,-8.000e-02,0.8560,0.0630,-0.0460
2064,K02423.01,CONFIRMED,45.126216000,4.9950000e-04,-4.9950000e-04,2.32,7.600e-01,-2.500e-01,1.1690,0.3820,-0.1270
2065,K02424.01,CONFIRMED,11.940191010,7.0960000e-05,-7.0960000e-05,1.86,2.400e-01,-1.200e-01,0.7480,0.0980,-0.0490
2066,K02425.01,FALSE POSITIVE,3.512956740,2.5230000e-05,-2.5230000e-05,1.10,3.400e-01,-1.600e-01,1.1700,0.3570,-0.1650
2067,K02497.01,CONFIRMED,48.431300300,3.5480000e-04,-3.5480000e-04,2.78,1.000e-01,-1.900e-01,0.8050,0.0280,-0.0560
2068,K00248.01,CONFIRMED,7.203855862,5.9210000e-06,-5.9210000e-06,2.25,1.300e-01,-1.700e-01,0.5390,0.0300,-0.0410
2069,K02498.01,CONFIRMED,6.738087010,4.4730000e-05,-4.4730000e-05,0.73,4.000e-02,-4.000e-02,0.7690,0.0490,-0.0400
2070,K02499.01,FALSE POSITIVE,7.575714140,6.5900000e-05,-6.5900000e-05,2.45,8.200e-01,-2.800e-01,1.1710,0.3960,-0.1320
2071,K02501.01,FALSE POSITIVE,4.768876710,1.9340000e-05,-1.9340000e-05,2.11,3.900e-01,-6.700e-01,1.8550,0.3440,-0.5900
2072,K02573.01,FALSE POSITIVE,1.347512632,1.1140000e-06,-1.1140000e-06,23.45,2.460e+00,-2.470e+00,0.6850,0.0720,-0.0720
2073,K02574.01,FALSE POSITIVE,0.512581697,8.0800000e-07,-8.0800000e-07,1.32,2.800e-01,-1.100e-01,0.8200,0.1760,-0.0700
2074,K02576.01,FALSE POSITIVE,12.077608840,8.4980000e-05,-8.4980000e-05,1.03,1.700e-01,-1.400e-01,0.8450,0.1380,-0.1130
2075,K02577.01,CANDIDATE,18.555815650,8.2760000e-05,-8.2760000e-05,20.83,3.510e+00,-7.620e+00,8.8410,1.4920,-3.2320
2076,K02578.01,CANDIDATE,13.330948690,3.6990000e-05,-3.6990000e-05,25.95,7.540e+00,-3.470e+00,1.0390,0.3020,-0.1390
2077,K02651.01,FALSE POSITIVE,6.383157440,2.3530000e-05,-2.3530000e-05,2.35,3.700e-01,-2.000e-01,0.7140,0.1140,-0.0610
2078,K00255.01,CONFIRMED,27.521947720,3.0580000e-05,-3.0580000e-05,2.47,1.700e-01,-2.100e-01,0.5110,0.0360,-0.0430
2079,K02652.01,CONFIRMED,16.128967900,1.5520000e-04,-1.5520000e-04,2.94,6.100e-01,-5.000e-01,1.0870,0.2270,-0.1850
2080,K02654.01,CONFIRMED,13.563115700,1.4340000e-04,-1.4340000e-04,1.75,5.100e-01,-1.700e-01,0.8950,0.2600,-0.0870
2081,K02655.01,CONFIRMED,16.295991600,7.7030000e-05,-7.7030000e-05,1.83,2.100e-01,-1.700e-01,0.9610,0.1150,-0.0860
2082,K02426.01,CONFIRMED,4.160566580,2.5770000e-05,-2.5770000e-05,0.70,1.400e-01,-6.000e-02,0.8150,0.1630,-0.0650
2083,K02427.01,FALSE POSITIVE,2.931017710,2.3020000e-05,-2.3020000e-05,1.15,1.700e-01,-1.500e-01,0.7880,0.1230,-0.1010
2084,K00245.01,CONFIRMED,39.792200770,3.0070000e-05,-3.0070000e-05,1.90,8.000e-02,-7.000e-02,0.7810,0.0340,-0.0310
2085,K02428.01,FALSE POSITIVE,16.227675600,1.3440000e-04,-1.3440000e-04,2.11,4.500e-01,-3.000e-01,0.8830,0.1880,-0.1260
2086,K02429.01,FALSE POSITIVE,1.595630597,5.0880000e-06,-5.0880000e-06,17.94,3.660e+00,-1.230e+00,0.7290,0.1490,-0.0500
2087,K02503.01,CONFIRMED,14.820059600,1.1190000e-04,-1.1190000e-04,0.96,6.000e-02,-4.000e-02,0.7320,0.0430,-0.0290
2088,K02504.01,CONFIRMED,20.490410000,1.7510000e-04,-1.7510000e-04,2.34,6.700e-01,-2.200e-01,0.9230,0.2640,-0.0880
2089,K02505.01,FALSE POSITIVE,0.962827066,4.8910000e-06,-4.8910000e-06,29.27,3.960e+00,-1.109e+01,3.0280,0.4100,-1.1470
2090,K02506.01,CONFIRMED,8.679037000,3.9760000e-05,-3.9760000e-05,1.79,5.900e-01,-2.500e-01,1.0270,0.3340,-0.1430
2091,K02507.01,CONFIRMED,11.129697100,9.1030000e-05,-9.1030000e-05,1.93,6.200e-01,-2.000e-01,0.9640,0.3090,-0.0970
2092,K02579.01,CONFIRMED,2.729603600,1.3120000e-05,-1.3120000e-05,1.53,2.600e-01,-2.200e-01,1.2350,0.2130,-0.1750
2093,K02580.01,CONFIRMED,3.116041940,1.1880000e-05,-1.1880000e-05,1.59,4.300e-01,-1.100e-01,0.8600,0.2370,-0.0590
2094,K00250.04,CONFIRMED,46.827677250,9.7940000e-05,-9.7940000e-05,2.13,1.200e-01,-1.600e-01,0.5370,0.0300,-0.0410
2095,K02581.01,CONFIRMED,12.737237100,1.2980000e-04,-1.2980000e-04,0.87,9.000e-02,-5.000e-02,0.8680,0.0900,-0.0520
2096,K02582.01,CONFIRMED,40.030626700,3.4010000e-04,-3.4010000e-04,2.01,3.500e-01,-3.800e-01,1.3730,0.2350,-0.2590
2097,K02668.01,CONFIRMED,0.679336747,8.2300000e-07,-8.2300000e-07,1.40,1.600e-01,-8.000e-02,0.9130,0.1030,-0.0550
2098,K02669.01,FALSE POSITIVE,213.610320700,1.7300000e-04,-1.7300000e-04,46.07,1.139e+01,-4.090e+00,0.8450,0.2090,-0.0750
2099,K02670.01,FALSE POSITIVE,170.865849200,1.2500000e-04,-1.2500000e-04,24.40,3.850e+00,-4.300e+00,1.3240,0.2090,-0.2330
2100,K02671.01,CANDIDATE,21.476427270,2.4440000e-05,-2.4440000e-05,59.50,0.000e+00,0.000e+00,1.0000,,
2101,K02671.02,FALSE POSITIVE,17.550974200,3.3910000e-04,-3.3910000e-04,5.97,0.000e+00,0.000e+00,1.0000,,
2102,K02672.01,CONFIRMED,88.512201400,2.7360000e-04,-2.7360000e-04,4.70,6.100e-01,-3.700e-01,0.9450,0.1220,-0.0750
2103,K02430.01,FALSE POSITIVE,10.215075060,8.2380000e-05,-8.2380000e-05,1.50,1.700e-01,-1.400e-01,0.9500,0.1080,-0.0880
2104,K02431.01,FALSE POSITIVE,8.380697300,1.7420000e-04,-1.7420000e-04,1.91,3.400e-01,-1.500e-01,0.7350,0.1320,-0.0580
2105,K02432.01,CONFIRMED,31.057294700,2.3030000e-04,-2.3030000e-04,1.85,3.400e-01,-1.400e-01,0.7340,0.1320,-0.0570
2106,K02433.01,CONFIRMED,15.162228700,1.2400000e-04,-1.2400000e-04,3.12,1.090e+00,-3.600e-01,1.1120,0.3880,-0.1290
2107,K02433.02,CONFIRMED,10.043783510,6.5510000e-05,-6.5510000e-05,2.94,1.030e+00,-3.400e-01,1.1120,0.3880,-0.1290
2108,K02508.01,CANDIDATE,7.103979250,2.4240000e-05,-2.4240000e-05,1.51,3.100e-01,-1.400e-01,0.7890,0.1640,-0.0700
2109,K02509.01,CONFIRMED,4.551398800,2.0010000e-05,-2.0010000e-05,1.13,4.000e-02,-9.000e-02,0.8400,0.0340,-0.0620
2110,K00248.02,CONFIRMED,10.912740650,1.4650000e-05,-1.4650000e-05,2.13,1.200e-01,-1.600e-01,0.5390,0.0300,-0.0410
2111,K02510.01,FALSE POSITIVE,12.214154500,1.8690000e-04,-1.8690000e-04,18.13,3.480e+00,-1.490e+00,0.8240,0.1580,-0.0680
2112,K02511.01,FALSE POSITIVE,3.732261000,2.1250000e-05,-2.1250000e-05,1.09,2.900e-01,-1.300e-01,0.8670,0.2320,-0.1000
2113,K02583.01,CONFIRMED,3.032671350,1.3740000e-05,-1.3740000e-05,0.60,8.000e-02,-4.000e-02,0.9210,0.1310,-0.0610
2114,K02585.01,CONFIRMED,5.341824660,4.1120000e-05,-4.1120000e-05,0.95,1.400e-01,-1.700e-01,1.1350,0.1650,-0.2020
2115,K02586.01,CONFIRMED,2.131945045,6.4490000e-06,-6.4490000e-06,1.66,5.000e-01,-1.700e-01,1.0130,0.3050,-0.1020
2116,K02587.01,CONFIRMED,12.946256700,2.9300000e-04,-2.9300000e-04,1.13,2.900e-01,-1.000e-01,0.8670,0.2200,-0.0780
2117,K02588.01,CONFIRMED,5.779571330,2.3780000e-05,-2.3780000e-05,1.50,8.000e-02,-8.000e-02,0.5810,0.0310,-0.0310
2118,K02656.01,CANDIDATE,6.773678920,6.3320000e-05,-6.3320000e-05,1.33,4.100e-01,-1.700e-01,1.0720,0.3340,-0.1340
2119,K02657.01,CANDIDATE,5.224024360,3.1720000e-05,-3.1720000e-05,0.58,5.000e-02,-5.000e-02,0.8400,0.0850,-0.0590
2120,K02658.01,CONFIRMED,11.660166700,1.0240000e-04,-1.0240000e-04,2.08,3.300e-01,-1.900e-01,1.0830,0.1720,-0.1000
2121,K02659.01,FALSE POSITIVE,89.465468000,1.5390000e-03,-1.5390000e-03,2.57,3.900e-01,-7.200e-01,2.4600,0.3720,-0.6910
2122,K02660.01,CONFIRMED,18.016122700,1.0880000e-04,-1.0880000e-04,2.39,7.600e-01,-3.300e-01,1.0650,0.3390,-0.1450
2123,K02434.01,FALSE POSITIVE,40.877760500,4.8140000e-04,-4.8140000e-04,29.55,9.270e+00,-3.090e+00,0.9370,0.2940,-0.0980
2124,K02435.01,FALSE POSITIVE,6.802434310,6.3770000e-05,-6.3770000e-05,2.60,7.200e-01,-2.200e-01,0.8160,0.2250,-0.0700
2125,K02436.01,CONFIRMED,84.573334600,6.5410000e-04,-6.5410000e-04,2.59,5.800e-01,-2.200e-01,0.8880,0.1980,-0.0740
2126,K00245.02,CONFIRMED,21.301818630,7.7990000e-05,-7.7990000e-05,0.72,3.000e-02,-3.000e-02,0.7810,0.0340,-0.0310
2127,K02437.01,CONFIRMED,4.147890510,3.4080000e-05,-3.4080000e-05,1.93,3.700e-01,-3.000e-01,1.4170,0.2720,-0.2230
2128,K02512.01,CANDIDATE,15.921081380,5.0370000e-05,-5.0370000e-05,3.14,7.700e-01,-3.000e-01,0.8200,0.2010,-0.0800
2129,K02513.01,CONFIRMED,19.005409800,6.0400000e-05,-6.0400000e-05,28.47,9.160e+00,-3.650e+00,1.0360,0.3330,-0.1330
2130,K02514.01,FALSE POSITIVE,1.964331130,1.6110000e-05,-1.6110000e-05,1.33,4.600e-01,-1.500e-01,1.1210,0.3880,-0.1290
2131,K02516.01,CANDIDATE,2.810432280,2.1150000e-05,-2.1150000e-05,1.43,2.400e-01,-3.900e-01,2.0790,0.3490,-0.5670
2132,K02517.01,CONFIRMED,0.968527683,2.9580000e-06,-2.9580000e-06,1.21,1.600e-01,-5.000e-02,0.8860,0.1140,-0.0360
2133,K02589.01,CONFIRMED,0.664074145,1.5280000e-06,-1.5280000e-06,1.19,1.600e-01,-9.000e-02,0.7970,0.1070,-0.0630
2134,K02590.01,FALSE POSITIVE,11.748990700,1.4000000e-04,-1.4000000e-04,1.01,5.300e-01,-2.900e-01,1.6550,0.8630,-0.4830
2135,K02592.01,CANDIDATE,175.603366000,3.2320000e-03,-3.2320000e-03,2.87,9.500e-01,-3.200e-01,1.0090,0.3350,-0.1120
2136,K00004.01,CONFIRMED,3.849371737,2.3440000e-06,-2.3440000e-06,12.94,1.800e+00,-4.200e+00,2.9920,0.4160,-0.9710
2137,K00033.01,FALSE POSITIVE,0.366197145,1.0250000e-06,-1.0250000e-06,51.34,2.150e+00,-1.150e+01,31.5000,1.3230,-7.0560
2138,K00251.01,CONFIRMED,4.164384505,2.1550000e-06,-2.1550000e-06,2.54,1.900e-01,-2.100e-01,0.5080,0.0370,-0.0420
2139,K02662.01,CONFIRMED,2.104335340,4.4670000e-06,-4.4670000e-06,0.79,1.100e-01,-8.000e-02,0.4330,0.0580,-0.0480
2140,K02664.01,CONFIRMED,28.843175100,2.7050000e-04,-2.7050000e-04,2.66,3.000e-01,-3.000e-01,0.7850,0.0880,-0.0880
2141,K00256.01,FALSE POSITIVE,1.378649746,4.0000000e-07,-4.0000000e-07,6.51,5.200e-01,-7.700e-01,0.4390,0.0350,-0.0520
2142,K02665.01,FALSE POSITIVE,1.112207126,5.8300000e-06,-5.8300000e-06,0.73,2.300e-01,-7.000e-02,0.9720,0.3000,-0.1000
2143,K02666.01,CANDIDATE,64.034363000,1.0400000e-03,-1.0400000e-03,3.47,8.000e-01,-3.200e-01,0.7830,0.1810,-0.0720
2144,K02667.01,FALSE POSITIVE,1.303576682,2.4900000e-06,-2.4900000e-06,1.51,4.500e-01,-1.600e-01,0.9550,0.2850,-0.1020
2145,K02438.01,FALSE POSITIVE,1.958577398,8.6780000e-06,-8.6780000e-06,1.80,3.700e-01,-1.400e-01,0.8160,0.1690,-0.0600
2146,K02439.01,CONFIRMED,5.191036990,2.8460000e-05,-2.8460000e-05,1.92,6.400e-01,-2.100e-01,1.1250,0.3700,-0.1230
2147,K02440.01,CONFIRMED,4.866385040,2.4210000e-05,-2.4210000e-05,1.32,2.000e-01,-1.800e-01,1.1110,0.1690,-0.1540
2148,K02441.01,FALSE POSITIVE,4.791769930,3.2980000e-05,-3.2980000e-05,0.81,4.000e-02,-6.000e-02,0.7560,0.0360,-0.0550
2149,K02442.01,CONFIRMED,25.193398900,1.6890000e-04,-1.6890000e-04,1.95,9.000e-02,-1.500e-01,0.8400,0.0380,-0.0630
2150,K02518.01,FALSE POSITIVE,0.759762021,1.6680000e-06,-1.6680000e-06,24.20,7.050e+00,-3.020e+00,1.1230,0.3270,-0.1400
2151,K02519.01,CANDIDATE,4.790912471,7.9600000e-06,-7.9600000e-06,2.25,7.000e-02,-1.200e-01,0.6760,0.0210,-0.0370
2152,K02520.01,CONFIRMED,6.494414640,3.1260000e-05,-3.1260000e-05,1.75,1.200e-01,-1.700e-01,0.7420,0.0480,-0.0710
2153,K00248.03,CONFIRMED,2.576571021,1.9510000e-06,-1.9510000e-06,1.57,9.000e-02,-1.200e-01,0.5390,0.0300,-0.0410
2154,K02521.01,CONFIRMED,28.475000600,1.9440000e-04,-1.9440000e-04,2.64,1.000e-01,-1.900e-01,0.8310,0.0320,-0.0600
2155,K02593.01,CONFIRMED,14.796630600,1.2580000e-04,-1.2580000e-04,0.98,1.600e-01,-1.000e-01,1.3070,0.2200,-0.1350
2156,K02594.01,CONFIRMED,11.254018710,6.5130000e-05,-6.5130000e-05,2.42,7.500e-01,-4.000e-01,1.1180,0.3440,-0.1850
2157,K02595.01,CONFIRMED,9.182442990,6.7030000e-05,-6.7030000e-05,1.24,2.300e-01,-1.900e-01,1.3140,0.2440,-0.2000
